Song,Artist,Lyrics,Year
im already there,lonestar, he called her on the road from a lonely cold hotel room just to hear her say i love you one more time but when he heard the sound of the kids laughin in the backgroundhe had to wipe away a tear from his eye a little voice came on the phone said daddy when you comin home he said the first thing that came to his mindim already there take a look around im the sunshine in your hair im the shadow on the groundim the whisper in the wind im your imaginary friend and i know im in your prayers oh im already thereshe got back on the phone said i really miss you darlin dont worry about the kids theyll be alright wish i was in your arms lyin right there beside youbut i know that ill be in your dreams tonight and ill gently kiss your lips touch you with my fingertips so turn out the light and close your eyesim already there dont make a sound im the beat in your heart im the moonlight shinin downim the whisper in the wind and ill be there til the end can you feel the love that we share oh im already therewe may be a thousand miles apart but ill be with you wherever you areim already there take a look around im the sunshine in your hair im the shadow on the groundim the whisper in the wind and ill be there til the end can you feel the love that we share oh im already there oh im already there ,2001
my baby,lil romeo, hotline can i request a song sure my baby by lil romeo you got thatoh romeo give me a chance too young i dont need a girlfriend walk me home from school anyway okay oh romeo the cutest boy i know i know i know so let me be your girlfriendthey call me lil p i represent the cp3 calliope ya heard of me straight from new orleans gotta uncle named silkk and a uncle named c i been dribbling the ball since the age of 3i got game like coby dunk it like poppa p once im in the zone aint no stoppin me coz you can jumpa baby humma girls be jockin me them miller boyz wear no limit gear from head to feetits like that whodi you got me crazy its like that whodi i want to be your lady its like that whodi why wont you be my baby its like that whodi cant no girl fade me meet me at the skatin rinkoh romeo give me a chance too young i dont need a girlfriend walk me home from school anyway okay oh romeo the cutest boy i know i know i know so let me be your girlfriend11 years old makin as and bs and these lil mommys cant keep their hands off me when you see me in the streets holla whats up doc i gotta a bugs bunny chain wit a matchin watchi make you jump like kris kross bounce like bow im the next generation i came to lock it down im a little boy but live a big mans life i got girls passin up wanna be my wifei got grown women wanna be in my life by the time i reach 18 im not gon be nothin nice im that r o m e o and after high school im goin straight to the pros bounce bounceoh romeo give me a chance too young i dont need a girlfriend walk me home from school anyway okay oh romeo the cutest boy i know i know i know so let me be your girlfriendsoldier boy i want you to myself i dont want them girls around your the flyest thing up in here boy and thats why its goin down i heard they call you romeo well im your juliet you must be playin hide and seek cause boy you hard to catchoh romeo give me a chance too young i dont need a girlfriend walk me home from school anyway okay oh romeo the cutest boy i know i know i know so let me be your girlfriendwhy you boys make them elbows swing why you girls make them elbows swingromeo gonna do dat thang romeo gonna do dat thang romeo gonna do dat thang romeo gonna do dat thangwhy you boys make them elbows swing why you girls make them elbows swing why you boys make them elbows swing why you girls make them elbows swingthrow em up get em up throw em up get em up throw em up get em up whatthis is for the fly girls that punk them this is for the fly boys that punk them this is for the fly girls thats bout it this is for the fly boys thats bout itmake em sweat make em sweat make em sweat make em sweat make em sweat make em sweatthats all folks ,2001
beautiful day,u2, the heart is a bloom shoots up through the stony ground theres no room no space to rent in this townyoure out of luck and the reason that you had to care the traffic is stuck and youre not moving anywhereyou thought youd found a friend to take you out of this place someone you could lend a hand in return for graceits a beautiful day sky falls you feel like its a beautiful day dont let it get awayyoure on the road but youve got no destination youre in the mud in the maze of her imaginationyoure lovin this town even if that doesnt ring true youve been all over and its been all over youits a beautiful day dont let it get away its a beautiful daytouch me take me to that other place teach me i know im not a hopeless casesee the world in green and blue see china right in front of you see the canyons broken by cloud see the tuna fleets clearing the sea out see the bedouin fires at night see the oil fields at first light and see the bird with a leaf in her mouth after the flood all the colors came outit was a beautiful day dont let it get away beautiful daytouch me take me to that other place reach me i know im not a hopeless casewhat you dont have you dont need it now what you dont know you can feel it somehow what you dont have you dont need it now dont need it now was a beautiful day ,2001
austin,blake shelton, she left without leavin a number said she needed to clear her mind he figured shed gone back to austin cause she talked about it all the time it was almost a year before she called him up three rings and an answering machine is what she gotif your callin bout the car i sold it if this is tuesday night im bowlin if youve got somethin to sell your wastin your time im not buyin if its anybody else wait for the tone you know what to do and ps if this is austin i still love youthe telephone fell to the counter she heard but she couldnt believe what kind of man would hang on that long what kind of love that must be she waited three days and then she tried again she didnt know what shed say but she heard three rings and thenif its friday night im at the ball game and first thing saturday if it dont rain im headed out to the lake and ill be gone all weekend long but ill call you back when i get home on sunday afternoon and ps if this is austin i still love youwell this time she left her number but not another word when she waited by the phone on sunday evening and this is what he heardif your callin bout my heart its still yours i should have listened to it a little more then it wouldnt have taken me so long to know where i belong and by the way boy this is no machine your talkin to cant you tell this is austin and i still love youi still love you ,2001
southern hospitality,ludacris, cadillac grills cadillac mills check out the oil my cadillac spills matter of fact candy paint cadillacs kill so check out the hoes my cadillac fills twenty inch wide twenty inches high hoe dont you like my twenty inch ride twenty inch thighs make twenty inch eyes hoping for american twenty inch pies pretty ass clothes pretty ass toes oh how i love these pretty ass hoes pretty ass high class anything goes catch em in the club throwing pretty ass bows longjohn drawers longjohn stalls any stank puss make my long john pause women on they cell making long john calls and if they like to juggle get long johns ballsall my players in the house that can buy the bar and the balling ass niggas wit the candy cars if you a pimp and you know you dont love them hoes when you get on the flow nigga throw them bows all my women in the house if you chasing cash and you got some big titties wit a matching ass with ya flyass boots or ya open toes when ya get on the flow nigga throw them bowsdirty south mind blowing dirty south bread catfish fried up dirty south fed sleep in a cotpicking dirty south bed dirty south girls gimme dirty south head hand me down flipflops hand me down socks hand me down drug dealers hand me down rocks hand me down a 50 pack swisher sweets box and goodfella rich niggas hand me down stocks mouth full of platinum mouth full of gold forty glock cal keep your mouth on hold lie through your teeth you could find your mouth cold and rip out ya tongue cause of what ya mouth told sweat for the lemonade sweat for the tea sweat from the hot sauce sweat from the d and you can sweat from a burn in the third degree and if you sweat in your sleep then you sweat from meall my players in the house that can buy the bar and the balling ass niggas wit the candy cars if you a pimp and you know you dont love them hoes when you get on the flow nigga throw them bows all my women in the house if you chasing cash and you got some big titties wit a matching ass with ya flyass boots or ya open toes when ya get on the flow nigga throw them bowshit by stars hit by cars drunk off the liquor getting hit by bars keep yo girl close cause shes hit by far hit by the neptunes hit by guitars afro picks afro chicks i let my soul glow from my afro dick rabbit out the hat pulling afro tricks afroamerican afro thick overall country overall jeans overall georgia we overall clean southern hospitality or overall mean overall triple overall beams thugged out niggas wear thugged out chains thugged out blocks playing thugged out games all black tinted up thugged out range dtp stay doing thugged out thangsall my players in the house that can buy the bar and the balling ass niggas wit the candy cars if you a pimp and you know you dont love them hoes when you get on the flow nigga throw them bows all my women in the house if you chasing cash and you got some big titties wit a matching ass with ya flyass boots or ya open toes when ya get on the flow nigga throw them bowsall my players in the house that can buy the bar and the balling ass niggas wit the candy cars if you a pimp and you know you dont love them hoes when you get on the flow nigga throw them bows all my women in the house if you chasing cash and you got some big titties wit a matching ass with ya flyass boots or ya open toes when ya get on the flow nigga throw them bowsnigga throw dem bows nigga throw dem bows nigga throw dem bows nigga throw dem bows ,2001
grown men dont cry,tim mcgraw, i pulled into the shopping center and saw a little boy wrapped around the legs of his mother like ice cream melting they embraced years of bad decisions runnin down her face all mornin id been thinkin my lifes so hard and they wore everything they own livin in a car i wanted to tell em it would be okay but i got just got in my suburban and i i drove awayi dont know why they say grown men dont cry i dont know why they say grown men dont crykeep having this dream about my old man im 10 years old and hes holding my hand were talkin on the front porch watchin the sun go down but it was just a dream he was a slave to his job and he couldnt be around so many things i wanna say to him but i just placed a rose on his grave and i talk to the windand i dont know why they say grown men dont cry i dont know why they say grown men dont cry dont cryim sittin here with my kids and my wife and everything that i hold dear in my life we say grace and thank the lord got so much to be thankful for then its up the stairs and off to bed and my little girl says i havent had my story yet everything weighin on my mind disappears just like that when she lifts her head off her pillow and says i love you dadi dont know why they say grown men dont cry i dont know why they say grown men dont cry and i dont know why they say grown men dont cry i dont know why they say grown men dont cry dont cry ,2001
livin it up,ja rule featuring case, yeah yeah yeah we all my yeah cmon cmon uh to all my bitches that be givin it up uh to all my niggas that be livin it up we say to all my bitches that be givin it up ah cmonbaby youre such a typical everyday one night thing its a physical ima fuck you tonight thing fuck knowing your name get your ass in the range and rollover gettin blown while blowing the dojabring head to a closure thats a good bitch before its all over ima leave this bitch probably treat this bitch mo better cause if you aint know gangstas and hoes go togetherpoppin my collar partna who in the spot baby rule in the spot in the mug and the watch love me half the hoes hate me half them love me the ones that hate me only hate me cause they aint fucked meand they say im lucky do you think ive got time to fuck all these hoes and do all these shows or flight in the lama dodge and white rolls uhoh another episodewhat do i do to all my niggas that be livin it up we say what i do to all my bitches that be givin it up uhhwhat you do to all my niggas that be livin it up we say what do i do to all my bitches that be givin it up uhh my love for you cmonbitches just wanna hold the name exactly thats why they suck dick with more passion than average and i aint mad atcha never leave you alone cause we fucks when im home phone sex when im gonewe both grown both got minds of our own bust our freaks off like old dog and love jones been in many zones baby one hoe two hoes fuck prissy bitches the hoes that do pornobut you know the rule be livin it up and got all these hoes givin it up i like a little ooh baby how cute are you with a body that rides all sexuali got a stick ill ride right next to you do a dough nut and cut and ill open it up on the freeway dick in her mouth foot on the clutch rule bitch not givin a fuckwhat do i do to all my niggas that be livin it up we say what i do to all my bitches that be givin it up uhhwhat you do to all my niggas that be livin it up we say what do i do to all my bitches that be givin it up uhh my love for you cmoncmon we get high cmon we get ride cmon we get live live yo lifelove you so sexy i just want you next to me your whole vibe like you high on ecstasy cause aint nuthin but an e thang baby i know that pussy wet like crazyi wanna feel your passion come when you ask me laugh when you cry cry when you laughin but aint nothin happenin the bitch got a little too highpicked up my thigh and started crackin the radio blastin between me and you but you aint on the low with that freak shit you doi thought you knew what i do know i know what you docause its been a good night your head aint right like teddy p lets turn off the light and grind it out takin no times out til the sun come out bitch when you find outwhat do i do to all my niggas that be livin it up we say what i do to all my bitches that be givin it up uhhwhat you do to all my niggas that be livin it up we say what do i do to all my bitches that be givin it up uhh my love for you cmonwhat do i do to all my niggas that be livin it up we say what i do to all my bitches that be givin it up uhhwhat you do to all my niggas that be livin it up we say what do i do to all my bitches that be givin it up uhh my love for you cmoncmon we get high cmon we get ride cmon we get live cmon its my time unverified ,2001
loverboy,mariah carey featuring cameo, kissingah uh huh uh huh baby ah uh huh uh huh baby ah uh huh uh huh baby wooi want to i want to i want to i want to i need a i need a i need a i need aa lover a lover a lover a lover a lover a lover a lover a loverboy for meis it the glitter on her breast or the gloss on her lips hickeys on the chest or the toss of the hips im lost in the mix so i floss in the sea turning out the hits that only exist in your dreamsits the mo maker dough chaser now get it right would ya heart breaker i keep it tight but im no faker can laugh now but youll cry lateri think i like you in ya freak clothes freak those in my specialized peep shows and then ill make ya touch ya knees to ya elbows toes girl from the street of melroseits clear to see i like it when we smoke that choke that ill freak that no doubt you kind of got me like in a freeze when you roll out you got itchy balls from where i blow thati got myself a lover who loves what i like when he invites me over i come every time oh my sugar daddy takes me for a ride whatever way were going i expect to leave on timehes all mine and his loving makes me high like a taste of ecstasy all i need is him to be my loverboyloverboy come on and love me give me more touch me and touch me i enjoy the way you rock me all night long baby all night long loverboy come on and take me only you know how to make me shudder with anticipation all night long all night longi got myself a lover and hes so sublime its quite a bit of heaven to feel him inside so come on sugar daddy take me for a ride whatever way were going i expect to leave on timei get weak and his candys just so sweet when he caressed my whole body all i need is him to be my loverboyloverboy come on and love me give me more touch me and touch me i enjoy the way you rock me all night long i enjoy the way you rock me loverboy come on and take me only you know how to make me shudder with anticipation all night longwell im kind of innocent a vision of love you adore me even though my image is thugwhat i see in you is for my eyes only to see i bring out the freak in you up and down on me im your lovergirlme your loverboy but when we roam alone we come touch toys making noise we cant avoidthe way i throw that cant pop backdrop stopwatch brattat get ya more rock hard up all of the things that you wanna do to me if you wanna we can get obscene my cream and youre dingaling mingle bother me not when the sensation come outill make you scream uh huh uh huh baby feel me when i pump the pump lady behind me we can be close like family youre so sweet you taste like all types of candy starburst to jellybeansbanana split my dairy queen butterfinger my tangerines chickens only taste my loverboy in they dreams all my ladies let me hear you scream hate on me as much as you want to you cant do what the fuck i do bitches be emulating me daily daily hate on me as much as you want to you cant be who the fuck i be bitches be imitating me lately loverboyloverboy come on and love me give me more give it to me touch me and touch me i enjoy the way you rock me all night long strawberry loverboy come on and take me raspberry only you know how to make me all those good things shudder with anticipation diamonds and gumdrops all night long thats what you seem to meloverboy come on and love me oh give me more touch me and touch me i enjoy the way you rock me all night long lets get this started now loverboy come on and take me lets get this started now only you know how to make me shudder with anticipation strawberry all night long raspberry ,2001
contagious,the isley brothers featuring r kelly and chante moore, this is a stroy about a man comin in findin his woman in bed with well listenits 2 am im just gettin in bout to check my message no one has called but my homies and some bill collectors celluler rings somebody wants to borrow money i two way her she dont hit me back somethin is funnyso i called her mothers house and asked her had she seen my baby roll my 6 around lookin for that missin lady got back in turned the tv on and caught the news and i put my hand on my head cause im so confusedand then i turned the tv down cause i thought i heard a squeaky sound somethings goin on upstairs yeah cause i know nobody else lives herebomp bomp bomp as i get closer to the stair ways all i hear and then i hear my babys voice in my ear screamin outyoure contagious touch me baby give me what you got and a man say sexy lady drive me crazy drive me wildall i heard was my babys voice sayin youre contagious touch me baby give me what you got sexy lady drive me crazy drive me wild and i just cant believe this shiti ran downstairs lookin the closet lookin for that who said a prayer cause only god knows what im gonna do what i saw was enough to drive a preacher wild im in the hall contemplatin now in my own damn house who would have thought she was creepin with another man the down low happened to me all over againand then i turned the tv down cause i know i heard a squeaky sound somethin goin on upstairs yeah cause i know that no one else lives herebomp bomp bomp as i get closer to the stair ways all i hear and then i hear my babys voice in my ear screamin outyoure contagious touch me baby give me what you got sexy lady drive me crazy drive me wildall i can do is hear them say youre contagious touch me baby give me what you got sexy lady drive me crazy drive me wild i cant believe this shitwhat the hell is goin on between the sheets in my home baby wait let me explain before you start to point your canegirl im about to have a fit oh its about to be some shit how did i get into this shouldve never came home with this bitchyou low down dirty woman go back to where you come from but baby wait but wait my ass hit the streets yo ass is grassnow mr biggs before ya done wait how you know my name son honey wait i was gonna tell you move this cat looks real familiarnow dont i know you from somewhere a long time ago no no i dont think so yeah yeah i feel i know you brother very well no no you mistaking me for somebody elsefrank shut up cant you see two men are talkin but thought i told your ass to get the walkin now i think youll better leave this place cause im about to catch a caseyoure contagious touch me baby give me what you got whoa thats what she said sexy lady drive me crazy drive me wildand then he replied youre contagious touch me baby give me what you got sexy lady drive me crazy drive me wild oh yeahyoure contagious touch me baby give me what you got sexy lady drive me crazy drive me wild ,2001
who i am,jessica andrews, if i live to be a hundred and never see the seven wonders thatll be alright if i dont make it to the big leagues if i never win a grammy im gonna be just fine cause i know exactly who i ami am rosemarys granddaughter the spitting image of my father and when the day is done my mommas still my biggest fansometimes im clueless and im clumsy but ive got friends that love me and they know just where i stand its all a part of me and thats who i amso when i make a big mistake when i fall flat on my face i know ill be alright should my tender heart be broken i will cry those teardrops knowing i will be just fine cause nothin changes who i ami am rosemarys granddaughter the spitting image of my father and when the day is done my mommas still my biggest fansometimes im clueless and im clumsy but ive got friends that love me and they know just where i stand its all a part of me and thats who i amim a saint and im a sinner im a loser im a winner i am steady and unstable im young but i am ablei am rosemarys granddaughter the spitting image of my father and when the day is done my mommas still my biggest fansometimes im clueless and im clumsy but ive got friends that love me and they know where i stand its all a part of me thats who i ami am rosemarys granddaughter the spitting image of my father and when the day is done my mommas still my biggest fansometimes im clueless and im clumsy but ive got friends that love me and they know where i stand its all a part of me and thats who i am thats who i am ,2001
music,erick sermon featuring marvin gaye, just like music theres no doubt no doubt no doubt word up oh baby just like musicto relax my mind so i can be free and absorb sound that keep me round doin my thang constantly with no worries peace to keith murray just like musicto keep me flowin and keep me goin and keep me growin and keep me the e from knowin what happens out there is not my concern you wanna die its not my turn just like musicto do somethin to me like jump in the mercedes on the highway doin over eighty without music baby ill go crazy just like musicmake me call my homey on the phone like theres somethin new out that got me in the zone just that feelin got me i wish music can adopt me just like musicturn on some music i got my music turn on some music i got my music turn on some music i got my music turn on some music i got my music just like musicput me in the mood with my woman got me in the ear sayin sweet nothings make love come out the mouth no frontin like all of a sudden just like musictakin away your worries and cares any problems music will be right there together match yo we a perfect pair is that true marvin yeah musicyo to get you to bang this body soul snatcher universal language it be the light so open up this is it what the fuck just like musicone fly tune that have black and white vibe in one room no confrontation parlay all night its just the sensation just like musicturn on some music i got my music turn on some music i got my music turn on some music i got my music turn on some music i got my music just like musicmusic is the soul of the man music makes a happy day just like music music makes a cloud flow by baby your music is my tears inside my eyes just like musicyour music makes me want to sing girl music is a joy to bring just like music music is my heart and soul more precious than gold turn on some music i got my music happiness for days is just a song awayturn on some music i got my music i love your music baby i got my music turn on some music i got my music just like music turn on some music turn on some music just like music turn on some music turn on some music just like music turn on some music turn on some music just like music ,2001
i wanna be bad,willa ford, oh i i i i wanna be bad with you baby i i i i i wanna be bad with you babydo you understand what i need need from you just let me be the girl to show you you everything that she can be is everything that i can be i wanna bemy turn let me let you know that i can i can promise that i wont do that so boy say the time and place cause you make me wanna misbehavei wanna be bad you make bad look so good i got things on my mind i never thought i wouldi i wanna be bad bad you make bad feel so good im losing all my cool im about to break the rules i i wanna be badi wanna be bad with you baby i i i i i wanna be bad with you babywhats up tell me what to do how to be teach me all you your rules from a to z but i i dont wantcha other girls to see that youre messin round with meshould i boy tell me what i got is what ya want tell tell me do i i turn you on i dont want no one judging mei wanna be bad you make bad look so good i got things on my mind i never thought i wouldi i wanna be bad bad you make bad feel so good im losing all my cool im about to break the rules i i wanna be badi wanna be bad with you baby i i i i i wanna be bad with you baby i i i wanna be bad with you baby i i i i i wanna be bad with you baby i ii wanna be bad you make bad look so good i got things on my mind i never thought i wouldi i wanna be bad bad you make that feel so good im losing all my cool im about to break the rules i i wanna be bad ,2001
dont happen twice,kenny chesney, i havent seen you in forever oh you havent changed a bit you didnt think that id remember how could i forgetwe sang bobby mcgee on the hood of my car made a wish on every star in that clear september sky one bottle of wine and two dixie cups 3 am i feel in love for the first time in my life oh thats something that just dont happen twiceto this day i still taste that first kiss how i prayed it wouldnt end in a way seeing you like this i guess it never really didwe sang bobby mcgee on the hood of my car made a wish on every star in that clear september sky one bottle of wine and two dixie cups 3 am i feel in love for the first time in my life oh thats something that just dont happen twiceone bottle of wine and two dixie cups 3 am i fell in love for the first time in my life oh thats something baby thats something oh thats something that just dont happen twiceoh yeah we sang bobby mcgee on the hood of my car made a wish on every star one bottle of wine and two dixie cups yeah we fell in love ,2001
one more day,diamond rio, last night i had a crazy dream a wish was granted just for me it could be forever i didnt ask for money or a mansion in malibu i simply wished for one more day with youone more day one more time one more sunset maybe id be satisfied but then again i know what it would do leave me wishing still for one more day with you one more dayfirst thing id do is pray for time to crawl id unplug the telephone and keep the tv off id hold you every second say a million i love yous thats what id do with one more day with youone more day one more time one more sunset maybe id be satisfied but then again i know what it would do leave me wishing still for one more day with you ,2001
i wish,r kelly, i wish i wish i wish to every city i wish i wish i wish every hood i wish i wish i wish and every block ghetto americarollin through the hood just stopped by to say whats up and let you know your baby boy aint doing so tough and even though you passed going on four long years still waking up late at night crying tears just thinking about those days you used to talk to me smilin while im sippin on this hennessey and remember we bragged on how rich we would be to get up out this hood was like a fantasyand now you hear my songs the radio is bangin oh i cant believe my ears and what everybodys sayin and boy ill tell you folks dont know the half i would give it all up just to take one ridewith you how i used to kick it on the front porch with you and how i used to lay back and smoke weed with you and all the little basement party joints wed do now im just missing you how i wishi wish that i could hold you now i wish that i could touch you now i wish that i could talk to you be with you somehow i know youre in a better place even though i cant see your face i know youre smiling down on me saying everythings okay and if i make it out this thug life ill see you again someday i wish i wish i wish i wish i wish i wishnow ever since this money come its been nothing but stress sometimes i wish that i could just trade in my success yall look at me and say boy youve been blessed but yall dont see the inside of my unhappiness man i swear this shit gets heavy like a ton thats why you hear me shootin this real shit off like a gun hmm i wonder how my friends would treat me now if i wasnt iced up with a bentley and a house thats why fake ass niggas get fake ass digits and fake ass playas get a real playa hatin em honey love goes platinum and yall ass come around but yall dont want to raise the roof until my shit is going downand now you hear my songs the radio is bangin oh i cant believe my ears and what everybodys sayin boy ill tell you folks dont know the half i would give it all up just to take one ridewith you how i used to hoop off in them tournaments with you and how i used to club hop on weekends with you your family called the morning of the tragic end damn my condolencesi wish that i could hold you now i wish that i could touch you now i wish that i could talk to you be with you somehow i know youre in a better place even though i cant see your face i know youre smiling down on me saying everythings okay and if i make it out this thug life ill see you again someday i wish i wish i wish i wish i wish i wishvoices in my head be telling me to come to church said the lord is the only way for you to stop the hurt dreaming of windows black tinted like a hearse when waking up to life sometimes seems worst and all i ever wanted is to be a better man and i try to keep it real with my homies now for me to save the world i dont understand how did i become the leader of a billion menand now you hear my songs the radio is bangin oh i cant believe my ears and what everybodys sayin boy ill tell you folks dont know the half i would give it all up just to take one ridewith you how i used to street perform on friday with you and how i used to go to church on easter sunday with you standing here throwing them songs at me somebody pray for mei wish that i could hold you now i wish that i could touch you now i wish that i could talk to you be with you somehow i know youre in a better place even though i cant see your face i know youre smiling down on me saying everythings okayi wish that i could hold you now i wish that i could touch you now i wish that i could talk to you be with you somehow i know youre in a better place even though i cant see your face i know youre smiling down on me saying everythings okayi wish that i could hold you now i wish that i could touch you now i wish that i could talk to you be with you somehow i know youre in a better place even though i cant see your face i know youre smiling down on me saying everythings okay ,2001
its a great day to be alive,travis tritt, i got rice cooking in the microwave i got a three day beard i dont plan to shave its a goofy thing but i just gotta say hey im doing alrightyeah i think ill make me some homemade soup im feeling pretty good and thats the truth its neither drink nor drug induced no im just doing alrightand its a great day to be alive i know the suns still shining when i close my eyes theres some hard times in the neighborhood but why cant every day be just this goodits been fifteen years since i left home i said good luck to every seed id sown gave it my best and then i left it alone i hope theyre doing alrightnow i look in the mirror and what do i see a lone wolf there staring back at me long in the tooth but harmless as can be lord i guess hes doin alrightand its a great day to be alive i know the suns still shining when i close my eyes theres some hard times in the neighborhood but why cant every day be just this goodsometimes its lonely sometimes its only me and the shadows that fill this room sometimes im falling desperately calling howling at the moon ahooh ahoohwell i might go get me a new tattoo or take my old harley for three day cruise might even grow me a fu man chuand its a great day to be alive i know the suns still shining when i close my eyes theres some hard times in the neighborhood but why cant every day be just this goodand its a great day to be alive i know the suns still shining when i close my eyes theres some hard times in the neighborhood but why cant every day be just this good ahooh oh yeah ,2001
im a thug,trick daddy, i dont know what this worlds gonna do but i know one thing that this is the life for me baby cause im a thug all day every day baby cause im a thug wouldnt change for the world uh huh cause im a thug thats right you heard baby cause im a thug uh huh oh yeahcheck it out could it be my baggy jeans or my gold teeth that make me different from yall aint trippin dog but listen dog ive been raised a little different dog im just doing my thang these are my ghetto slangs and im representing thug shit this who i roll with watch them niggas thats gonna love this niggas who out on bond on the run got 10 years on parole since you cant say it dog ima say it for yall motherfuck the popos fuck the judge and ceos fuck the da and pos fuck the family of the victim witness thats snitchin ass hoes niggai dont know what this worlds gonna do but i know one thing that this is the life for me baby cause im a thug all day every day baby cause im a thug wouldnt change for the world uh huh cause im a thug thats right you heard baby cause im a thug uh huh oh yeahsee im so tight niggas be like that nigga got so many hoes and i know he got clout look at his mouth that nigga got so many golds niggas be tellin they hoes to set em up with that nigga bitch ive been watch you watchin him you must wanna fuck this nigga my name alone been known to break up happy homes no disrespect dog but you aint have no business answering her phone if your ass wasnt home me and her been get get gettin it on and you couldnt have been hitting her right cause every second night she been hitting the phones she want a thugi dont know what this worlds gonna do but i know one thing that this is the life for me baby cause im a thug all day every day baby cause im a thug wouldnt change for the world uh huh cause im a thug thats right you heard baby cause im a thug uh huh oh yeahsince yall niggas wanna smoke the blunts tote the guns ima show you how to thug it dog give me half a pill and some zephanyll and im like fuck it dog as long as my extasy got the best of me and none of you niggas aint stressin me i got one request in this bitch you can have the rest of this shit if a nigga drop some shit and its wack as hell and dont make no damn sense take it back talk about it and tell your dog dont even buy that shit and i dont care who he is or where he from i represent thug shit and you aint gotta give me my props or nominate me cause dammit i love thisi dont know what this worlds gonna do but i know one thing that this is the life for me baby cause im a thug all day every day baby cause im a thug wouldnt change for the world uh huh cause im a thug thats right you heard baby cause im a thug uh huh oh yeahi dont know what this worlds gonna do but i know one thing that this is the life for me baby cause im a thug all day every day baby cause im a thug wouldnt change for the world uh huh cause im a thug thats right you heard baby cause im a thug uh huh oh yeah ,2001
heres to the night,eve 6, so denied so i lied are you the now or never kind in a day and a day love im gonna be gone for good again are you willing to be had are you cool with just tonight heres a toast to all those who hear me all too wellheres to the nights we felt alive heres to the tears you knew youd cry heres to goodbye tomorrows gonna come too soonput your name on the line along with place and time wanna stay not to go i wanna ditch the logical heres a toast to all those who hear me all too wellheres to the nights we felt alive heres to the tears you knew youd cry heres to goodbye tomorrows gonna come too soonall my time is froze in motion cant i stay an hour or two or more dont let me let you go heres a toast to all those who hear me all too wellheres to the nights we felt alive heres to the tears you knew youd cry heres to goodbye tomorrows gonna come too soon ,2001
you shouldnt kiss me like this,toby keith, ive got a funny feeling the moment that your lips touched mine something shot right through me my heart skipped a beat in time theres a different feel about you tonight its got me thinking lots of crazy things i even think i saw a flash of light it felt like electricityyou shouldnt kiss me like this unless you mean it like that cause ill just close my eyes and i wont know where im at well get lost on this dance floor spinning around and around and around and aroundtheyre all watching us now they think were falling in love theyd never believe were just friends when you kiss me like this i think you mean it like that if you do baby kiss me againeverybody swears wed make a perfect pair but dancing is as far as it goes girl youve never moved me quite the way you moved me tonight i just wanted you to know i just wanted you to knowyou shouldnt kiss me like this unless you mean it like that cause ill just close my eyes and i wont know where im at well get lost on this dance floor spinning around and around and around and aroundtheyre all watching us now they think were falling in love theyd never believe were just friends when you kiss me like this i think you mean it like that if you do baby kiss me again kiss me again ,2001
get over yourself,edens crush, uh huh yeah yeah yeah get over get over yourselfyeah i was right there like a little wife i was everything that you need always in line i was livin you lovin you fillin your desires but that was then this is now look me in the eye andoh oh if love could choose sides oh oh its takin my timeget over yourself goodbye it must be hard to be you yeah livin in your life i was always the one to cry now everything everything everything is alrightget over yourself know why cuz without you see i do anything i like sometimes i stay out all night and everything everything everything is alrightthis just cant be it i kept telling myself and every magazine said was me was on the shelf i was givin out givin in givin away my dreams you put it in put me down now i got my selfesteemoh oh wont get me back no oh oh no no get over it yeahget over yourself goodbye it must be hard to be you yeah livin in your life i was always the one to cry now everything everything everything is alrightget over yourself know why cuz without you see i do anything i like sometimes i stay out all night and everything everything everything is alrightso now you wanna talk say lets do it just once more for luck like old times make up better yet just forget better get over yourselfstay in touch when you learn a few things about love so then wake up better yet better get better get over yourselfget over yourself goodbye over yourself goodbye over yourself over yourself get over yourself goodbye always the one to cry over yourself over yourself everything is alrightget over yourself goodbye over yourself goodbye cuz without you see i do anything i like sometimes i stay out all night and everything everything everything is alrightget over yourself goodbye it must be hard to be you yeah livin in your life i was always the one to cry now everything everything everything is alrightget over yourself know why cuz without you see i do anything i like sometimes i stay out all night and everything everything everything is alrightget over yourself goodbye it must be hard to be you yeah livin in your life i was always the one to cry now everything everything everything is alrightget over yourself know why cuz without you see i do anything i like sometimes i stay out all night and everything everything everything is alrightget over yourself goodbye everything is alright everything is alright get over yourselfget over yourself goodbye everything is alright everything is alright get over yourself get over yourself goodbye ,2001
dance with me,debelah morgan, oh come and dance with me my baby lets dance till we go crazy the night is young and so are we lets make love and dance the night awaywhat i really want to do is just dance with you and feel your body tight show ya how to do it right i can show you every move i know just what to do each step we do is refine one dance and youll be mineso baby when we hit the floor youll be asking for more lets make love and dance the night awayoh come and dance with me my baby lets dance do it go crazy the night is young and so are we lets make love and dance the night awayoh put your hand in mine promise ill take my time well dance from head to toe i can dance fast or slow baby look into my eyes let the music hypnotize let our bodies synchronize when were dancing youll be mineso baby when we hit the floor youll be asking for more lets make love and dance the night awayoh come and dance with me my baby lets dance do it go crazy the night is young and so are we lets make love and dance the night awayoh when it comes to dancing i know how to move when it comes to passion i know just what to do i feel the music inside i feel like i am alive pretend i was right lets make loveoh come and dance with me my baby lets dance do it go crazy the night is young and so are we lets make love and dance the night awayoh come and dance lets dance the night lets make love and dance the night awayoh come and dance with me my baby lets dance do it go crazy the night is young and so are we lets make love and dance the night away ,2001
